ID_DatMuon;ID_NguoiMuon;TenNguoiMuon;DonVi;SDT;Email;ID_PhP;Ten_PhP;CoSo;TenDvuKem;ID_Ca;NgayDK;NgaySD;ID_NguoiQL;status
1;2103456789;Nguyen Van An;Ngon ngu hoc;901234567;2103456789@hcmussh.edu.vn;4;Sanh SB4;TD;Ban backdrop, Laptop;1;04/10/2023;05/01/2023;5;Da hoan thanh
2;2112345678;Tran Thi Bich;Do thi hoc;912345678;2112345678@hcmussh.edu.vn;1;Hoi truong Van Khoa;DTH;Man hinh Led;2;07/10/2023;11/11/2023;1;Da hoan thanh
3;2123456789;Le Minh Chau;Nhan hoc;923456789;2123456789@hcmussh.edu.vn;12;A-202;TD;;1;04/05/2023;5/23/2023;2;Da hoan thanh
4;2134567890;Pham Thi Dung;Van hoc;934567890;2134567890@hcmussh.edu.vn;5;Sanh D;DTH;;1;10/04/2022;11/05/2022;1;Da hoan thanh
5;2145678901;Hoang Van Duc;Du lich;945678901;2145678901@hcmussh.edu.vn;7;A-101;TD;Ban khung phong;2;07/10/2023;7/21/2023;3;Tu choi
6;2156789012;Bui Thi Hang;Ngu van Duc;956789012;2156789012@hcmussh.edu.vn;8;A-102;TD;Laptop;1;05/05/2023;06/06/2023;4;Dang dat
7;2167890123;Dang Minh Huy;Viet Nam hoc;967890123;2167890123@hcmussh.edu.vn;13;A-203;TD;May chieu, Laptop;2;5/24/2024;06/01/2024;5;Da checkin
8;2178901234;Phan Thi Huong;Ngu van Tay Ban Nha;978901234;2178901234@hcmussh.edu.vn;2;Hoi truong Nhan van;TD;;1;07/10/2023;7/27/2023;1;Da hoan thanh
9;2189012345;Vu Van Hung;Tam ly hoc;989012345;2189012345@hcmussh.edu.vn;5;Sanh D;DTH;Ban backdrop;1;04/05/2023;4/26/2023;2;Da hoan thanh
10;2190123456;Do Thi Kim;Lich su;990123456;2190123456@hcmussh.edu.vn;13;A-203;TD;May chieu ;3;10/04/2023;10/15/2023;3;Da duyet
11;2201234567;Ngo Van Lam;Xa hoi hoc;902345678;2201234567@hcmussh.edu.vn;154;Phong hop - PH104;TD;May chieu;2;07/10/2023;7/20/2023;4;Tu choi
12;2212345678;Duong Thi Lan;Nhat Ban hoc;913456789;2212345678@hcmussh.edu.vn;6;San nha dieu hanh;TD;;3;04/05/2023;4/24/2023;5;Da hoan thanh
13;2223456789;Ly Van Long;Han quoc hoc;924567890;2223456789@hcmussh.edu.vn;12;A-202;TD;Ban khung phong, Laptop;1;10/04/2022;10/19/2022;5;Da hoan thanh
14;2234567890;To Thi Mai;Cong tac xa hoi;935678901;2234567890@hcmussh.edu.vn;147;D-401;DTH;Ban backdrop;2;07/10/2023;7/26/2023;1;Tu choi
15;2245678901;Ta Van Nam;Triet hoc;946789012;2245678901@hcmussh.edu.vn;19;A-401;TD;May chieu, Laptop;2;04/05/2023;05/01/2023;3;Tu choi
16;2256789012;Cao Thi Nga;Dong phuong hoc;957890123;2256789012@hcmussh.edu.vn;20;A-402;TD;Treo bandroll;3;05/04/2024;06/01/2024;4;Da checkin
17;2267890123;Vuong Minh Ngoc;Bao chi va Truyen thong;968901234;2267890123@hcmussh.edu.vn;3;Hoi truong Tong Hop;TD;Man hinh Led;2;07/10/2023;08/01/2023;2;Da hoan thanh
18;2278901234;Luong Van Phat;Luu tru hoc – Quan tri van phong;979012345;2278901234@hcmussh.edu.vn;159;Phong Hoi nghi -HN109;DTH;;3;04/05/2023;4/22/2023;3;Tu choi
19;2289012345;Dinh Thi Phuong;Ngu van Anh;980123456;2289012345@hcmussh.edu.vn;17;A-303;TD;;3;01/04/2024;1/24/2024;4;Da hoan thanh
20;2290123456;Bach Van Quang;Van hoa hoc;991234567;2290123456@hcmussh.edu.vn;1;Hoi truong Van Khoa;DTH;Man hinh Led, May chieu;1;12/01/2023;12/19/2023;5;Da hoan thanh
21;2301234567;Luu Thi Quyen;Thu vien – Thong tin hoc;903456789;2301234567@hcmussh.edu.vn;50;C1-304;TD;May chieu;1;7/20/2023;08/03/2023;5;Tu choi
