MaNguoiMuon,Ten,DonVi,SDT,email
2103456789,Nguyen Van An,Ngon ngu hoc,901234567,2103456789@hcmussh.edu.vn
2112345678,Tran Thi Bich,Do thi hoc,912345678,2112345678@hcmussh.edu.vn
2123456789,Le Minh Chau,Nhan hoc,923456789,2123456789@hcmussh.edu.vn
2134567890,Pham Thi Dung,Van hoc,934567890,2134567890@hcmussh.edu.vn
2145678901,Hoang Van Duc,Du lich,945678901,2145678901@hcmussh.edu.vn
2156789012,Bui Thi Hang,Ngu van Duc,956789012,2156789012@hcmussh.edu.vn
2167890123,Dang Minh Huy,Viet Nam hoc,967890123,2167890123@hcmussh.edu.vn
2178901234,Phan Thi Huong,Ngu van Tay Ban Nha,978901234,2178901234@hcmussh.edu.vn
2189012345,Vu Van Hung,Tam ly hoc,989012345,2189012345@hcmussh.edu.vn
2190123456,Do Thi Kim,Lich su,990123456,2190123456@hcmussh.edu.vn
2201234567,Ngo Van Lam,Xa hoi hoc,902345678,2201234567@hcmussh.edu.vn
2212345678,Duong Thi Lan,Nhat Ban hoc,913456789,2212345678@hcmussh.edu.vn
2223456789,Ly Van Long,Han quoc hoc,924567890,2223456789@hcmussh.edu.vn
2234567890,To Thi Mai,Cong tac xa hoi,935678901,2234567890@hcmussh.edu.vn
2245678901,Ta Van Nam,Triet hoc,946789012,2245678901@hcmussh.edu.vn
2256789012,Cao Thi Nga,Dong phuong hoc,957890123,2256789012@hcmussh.edu.vn
2267890123,Vuong Minh Ngoc,Bao chi va Truyen thong,968901234,2267890123@hcmussh.edu.vn
2278901234,Luong Van Phat,Luu tru hoc – Quan tri van phong,979012345,2278901234@hcmussh.edu.vn
2289012345,Dinh Thi Phuong,Ngu van Anh,980123456,2289012345@hcmussh.edu.vn
2290123456,Bach Van Quang,Van hoa hoc,991234567,2290123456@hcmussh.edu.vn
2301234567,Luu Thi Quyen,Thu vien – Thong tin hoc,903456789,2301234567@hcmussh.edu.vn
2312345678,Trinh Van Son,Quan he quoc te,914567890,2312345678@hcmussh.edu.vn
2323456789,Doan Thi Thanh,Ngu van Y,925678901,2323456789@hcmussh.edu.vn
2334567890,Mai Van Thanh,Ngu van Nga,936789012,2334567890@hcmussh.edu.vn
2345678901,Phung Thi Thao,Giao duc,947890123,2345678901@hcmussh.edu.vn
2356789012,Truong Van Thien,Ngu van Trung Quoc,958901234,2356789012@hcmussh.edu.vn
2367890123,Vo Thi Thu,Dia ly,969012345,2367890123@hcmussh.edu.vn
2378901234,Ha Van Toan,Ngu van Phap,970123456,2378901234@hcmussh.edu.vn
2389012345,Phi Thi Trang,Ngon ngu hoc,981234567,2389012345@hcmussh.edu.vn
2390123456,Chu Minh Tuan,Dong phuong hoc,992345678,2390123456@hcmussh.edu.vn
2401234567,Lam Thi Tuyet,Do thi hoc,904567890,2401234567@hcmussh.edu.vn
2412345678,Thai Van Binh,Tam ly hoc,915678901,2412345678@hcmussh.edu.vn
2423456789,Do Thi Cam,Van hoc,926789012,2423456789@hcmussh.edu.vn
2434567890,Nguyen Van Chien,Nhat Ban hoc,937890123,2434567890@hcmussh.edu.vn
2445678901,Tran Thi Dieu,Xa hoi hoc,948901234,2445678901@hcmussh.edu.vn
2456789012,Le Van Dong,Triet hoc,959012345,2456789012@hcmussh.edu.vn
2467890123,Pham Thi Giang,Han quoc hoc,960123456,2467890123@hcmussh.edu.vn
2478901234,Hoang Van Ha,Cong tac xa hoi,971234567,2478901234@hcmussh.edu.vn
2489012345,Bui Thi Hien,Luu tru hoc – Quan tri van phong,982343576,2489012345@hcmussh.edu.vn
2490123456,Dang Van Hieu,Viet Nam hoc,993456789,2490123456@hcmussh.edu.vn
2501234567,Phan Thi Hoa,Bao chi va Truyen thong,905678901,2501234567@hcmussh.edu.vn
2512345678,Vu Thi Hue,Thu vien – Thong tin hoc,916789012,2512345678@hcmussh.edu.vn
2523456789,Do Minh Hung,Van hoa hoc,927890123,2523456789@hcmussh.edu.vn
2534567890,Ngo Thi Khanh,Nhan hoc,938901234,2534567890@hcmussh.edu.vn
2545678901,Duong Van Kien,Ngu van Y,949012345,2545678901@hcmussh.edu.vn
2556789012,Ly Thi Lan,Ngu van Tay Ban Nha,950123456,2556789012@hcmussh.edu.vn
2567890123,To Van Loi,Ngu van Nga,961234567,2567890123@hcmussh.edu.vn
2578901234,Ta Thi Lua,Quan he quoc te,972345678,2578901234@hcmussh.edu.vn
2589012345,Cao Van Manh,Lich su,983456789,2589012345@hcmussh.edu.vn
2590123456,Vuong Thi My,Ngu van Phap,994567890,2590123456@hcmussh.edu.vn
